id,title,releaseDate,rating,genres,description,platforms,metascore,metascore_count,metascore_sentiment,userscore,userscore_count,userscore_sentiment,platform_metascores,developer,publisher
1300638463,Astro Bot,2024-09-06,E10+,Platformer,"When the PS5 mothership is attacked by ASTRO’s long-standing galactic nemesis, scrambling its wires and scattering the crew throughout space, only ASTRO can make things right. Setting off on his biggest mission yet, he needs your help to rescue the stranded crew and rebuild the mothership. Make the most of ASTRO’s new power-ups, handcrafted to level up your immersion: from springy punches and rockets all the way to a giant sponge! Buckle up for some epic PlayStation camaraderie, join forces with your favourite PlayStation icons and show the universe that small is mighty in this fresh new ASTRO adventure, exclusive to PS5 consoles.",PlayStation 5,94.0,136,Universal acclaim,91,5575,Universal acclaim,94,Team Asobi,Sony Interactive Entertainment
1300501848,Baldur's Gate 3,2023-08-03,M,RPG,"An ancient evil has returned to Baldur's Gate, intent on devouring it from the inside out. The fate of Faerun lies in your hands. Alone, you may resist. But together, you can overcome. Gather your party and return to the Forgotten Realms in a tale of fellowship and betrayal, sacrifice and survival, and the lure of absolute power. Mysterious abilities are awakening inside you, drawn from a mind flayer parasite planted in your brain. Resist, and turn darkness against itself. Or embrace corruption, and become ultimate evil.","PC,PlayStation 5,Xbox Series X",96.0,112,Universal acclaim,92,20175,Universal acclaim,"96,96,99",Larian Studios Games,Larian Studios Games
1300044321,Battlefield 3,2011-10-25,M,"Shooter, Strategy","As bullets whiz by, walls crumble, and explosions throw you to the ground, the battlefield feels more alive and interactive than ever before. In Battlefield 3, players step into the role of the elite U.S. Marines where they will experience heart-pounding single player missions and competitive multiplayer actions ranging across diverse locations from around the globe including Europe, Middle-East and North America. ","PC,Xbox 360,PlayStation 3",89.0,61,Generally favorable,77,6240,Generally favorable,"89,84,85",EA DICE,Electronic Arts
1300022724,BioShock,2007-08-21,M,Shooter,"Going beyond ""run and gun corridors,"" ""monster-closet AIs"" and static worlds, BioShock creates a living, unique and unpredictable FPS experience. After your plane crashes into icy uncharted waters, you discover a rusted bathysphere and descend into Rapture, a city hidden beneath the sea. Constructed as an idealistic society for a hand picked group of scientists, artists and industrialists, the idealism is no more. Now the city is littered with corpses, wildly powerful guardians roam the corridors as little girls loot the dead, and genetically mutated citizens ambush you at every turn. Take control of your world by hacking mechanical devices, commandeering security turrets and crafting unique items critical to your very survival. Upgrade your weapons with ionic gels, explosives and toxins to customize them to the enemy and environment. Genetically modify your body through dozens of Plasmid Stations scattered throughout the city, empowering you with fantastic and often grotesque abilities. Explore a living world powered by Ecological A.I., where the inhabitants have interesting and consequential relationships with one another that impact your gameplay experience. Experience truly next generation graphics that vividly illustrate the forlorn art deco city, highlighted by the most detailed and realistic water effects ever developed in a video game. Make meaningful choices and mature decisions, ultimately culminating in the grand question: do you exploit the innocent survivors of Rapture...or save them? [2K Games]","PC,Xbox 360,PlayStation 3,iOS (iPhone/iPad)",96.0,88,Universal acclaim,88,4067,Generally favorable,"96,96,94,68","Irrational Games,2K Marin","2K Games,Spike"
1300287014,Bloodborne,2015-03-24,M,"Action, RPG","Bloodborne is an action RPG in which you hunt for answers in the ancient city of Yharnam, now cursed with a strange endemic illness spreading through the streets like a disease. Peril, death and madness infest this dark world, and you're tasked with uncovering its darkest secrets which will be necessary for you to survive. Armed with a singular arsenal of weaponry, including guns and saw cleavers, you'll require wits, strategy and reflexes to dispatch the agile and intelligent enemies that guard the city's underbelly. You will utility holy chalices to access an array of vast underground ruins, chock full of traps, beasts, and rewards, to explore and conquer on your own or with other people.",PlayStation 4,92.0,100,Universal acclaim,89,14147,Generally favorable,92,From Software,"SCEA,Sony Interactive Entertainment,SCEI,SCEE,SCE Australia"
1300020346,Burnout 3: Takedown,2004-09-07,T,Racing,"Burnout 3 takes the hit series even further, now featuring a unique ""crash and burn"" racing concept and a one-of-a-kind special effects engine that delivers spectacular visuals. The intensity heats up as players race, and often crash, their way through oncoming traffic in an attempt to claim the top spot. Boasting multiple single-player, multiplayer and online crash and race modes, Burnout 3 offers players the opportunity to race through busy city streets and be rewarded for taking risks that result in heart-pounding action and electrifying crashes. [Electronic Arts]","PlayStation 2,Xbox",94.0,76,Universal acclaim,87,331,Generally favorable,"93,94",Criterion Games,"EA Games,Electronic Arts"
1300043876,Call of Duty: Black Ops,2010-11-09,M,"Shooter, Strategy","Treyarch is developing the next installment in the Call of Duty franchise, rumored to be set during the Cold War. ","PC,PlayStation 3,Xbox 360,Wii,DS",87.0,89,Generally favorable,72,2669,Mixed or average,"81,88,87,80,74",Treyarch,"Activision,Square Enix"
1300482898,Call of Duty: Black Ops 4,2018-10-12,M,"Shooter, Strategy, Puzzle/Horror","Black Ops returns - in your face. Featuring gritty, grounded, fluid Multiplayer combat, a massive Zombies offering with 3 full undead adventures at launch, and Blackout, where the universe of Black Ops comes to life in one huge battle royale experience featuring the largest map in Call of Duty history, signature Black Ops combat, characters, locations and weapons from the entire Black Ops series. Soldier up for all-out combat – tailor made for the Black Ops community. [Treyarch]","PlayStation 4,Xbox One,PC",83.0,72,Generally favorable,43,2192,Generally unfavorable,"83,85,83",Treyarch,"Activision,Sony Interactive Entertainment"
1300637658,Call of Duty: Black Ops 6,2024-10-25,M,"Shooter, Strategy, Puzzle/Horror","Developed by Treyarch and Raven Software, Call of Duty: Black Ops 6 is a spy action thriller set in the early 1990s, a period of transition and upheaval in global politics, characterized by the end of the Cold War and the rise of the United States as a single superpower. With a mind-bending narrative, and unbound by the rules of engagement, this is signature Black Ops.
Initial Intel: Campaign: The Black Ops 6 Campaign takes players to a new point in time – the early 1990s. In true Black Ops fashion, the fictional story builds on the history of the time, thrusting you into a strange and clandestine conspiracy where a shadowy force has infiltrated the U.S. government. Anyone who resists is branded as a traitor, forcing players to go rogue for the first time to fight the very machine that created them. Nothing is what it seems, and the truth may be hard to fathom, drawing you ever deeper into intrigue, distrust, and mind-bending psychological revelations. This is true, signature Black Ops style.

Initial Intel: Multiplayer: Offering a massive amount of content at launch, expect 16 brand new Multiplayer maps on Day One, including 12 Core 6v6 maps and four small-sized Strike maps, the latter of which are unique, stand-alone locations designed to be played in 2v2 or Face Off 6v6 matches. Multiplayer is also where you’ll test your skills and learn how to move like an action hero, with innovations like Omnimovement – allowing you to sprint, slide and dive in any direction – as well as Intelligent Movement (sprinting, mantling, and crouch assists allowing you to focus on achieving incredible and complex maneuvers with ease), increased enemy hit zones, an incredible lineup of gear, HUD optimizations, and the return of Theater Mode and Classic Prestige!
All designed to ensure this game is the ultimate Black Ops Multiplayer experience.

Initial Intel: Round-Based Zombies: Black Ops 6 also marks the epic return of Round-Based Zombies, the fan-favorite mode where players will take down hordes of the undead. Expect two brand-new maps at launch, and an impressive number of secrets to discover. ","Xbox Series X,PlayStation 5,PC",82.0,63,Generally favorable,62,2095,Mixed or average,"83,82,83",Treyarch,"Activision,Microsoft Game Studios"
1300456881,Call of Duty: Infinite Warfare,2016-11-04,M,"Shooter, Strategy, Puzzle/Horror","Infinite Warfare is the first game in the franchise to venture beyond the reaches of Earth, framing a plausible future war in our solar system.  Infinite Warfare also introduces an original cooperative Zombies mode that takes players on a wild ride through a new storyline with unique gameplay features and mechanics. [Infinity Ward]","PlayStation 4,Xbox One,PC",77.0,87,Generally favorable,44,2134,Generally unfavorable,"77,78,73",Infinity Ward,"Activision,Sony Interactive Entertainment"
